id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
3066,1,1,4,8,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.8,0.8,1.218349293,11,1,1,0,0,0,1,1,2,1,23,3,0.4,0.892473117,0.330907842,3.464101615,0.2,0.9,0.2,3,1,9,5,8,3,9,6,1,3,6,0,1,0,0,1,0
3513,1,4,1,9,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0.8,1.1,0.997810102,7,0,1,0,1,15,1,0,2,1,5,2,0.447213595,1.277654019,0.325576412,3.741657387,0.9,0.2,0.4,1,4,4,2,9,1,6,3,4,1,6,0,1,0,1,0,0
3565,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0.5,0.2,0.517204022,5,1,0,0,1,1,0,1,2,1,31,3,0.424264069,0.826535636,0.34176015,3,0,0.7,0.9,4,0,10,1,11,3,11,13,4,3,8,0,1,1,1,0,1
3610,1,6,1,3,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0.8,0.3,0.644689848,1,1,1,0,0,1,1,0,2,1,64,3,0.316227766,0.752557623,0.301662063,3.605551276,0.8,0.7,0.2,2,2,9,5,10,3,10,6,2,4,6,0,0,1,0,1,0
4070,1,0,1,6,0,3,1,0,0,0,0,0,0,0,0,5,0,1,0,0.9,0.3,0.661437828,11,1,1,0,0,0,1,0,2,1,87,3,0.316227766,0.808669451,0.294448637,3.605551276,0.5,0.1,0.8,4,4,8,2,9,3,14,4,2,3,5,0,1,0,0,0,0
4231,1,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.3,0.806225775,11,1,0,0,0,15,1,1,2,1,63,2,0.387298335,0.878449517,0.319374389,3.605551276,0.7,0.4,0.6,3,4,5,2,9,2,15,9,1,4,6,0,1,1,0,0,0
4338,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0.8,0.8,1.109617051,11,1,1,0,0,11,1,0,0,1,103,1,0.316227766,0.715486889,0.288790582,3.741657387,0.7,0.8,0.4,3,1,7,3,9,2,1,5,0,5,5,0,0,1,0,1,1
4545,1,7,1,9,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0.9,1.3,1.55623745,11,0,1,0,1,10,1,1,0,1,55,2,0.424264069,1.101389055,0.358608422,3.605551276,0.4,0.2,0.9,2,1,10,3,9,1,11,6,0,5,9,0,0,1,0,0,0
5639,1,1,1,11,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.8,0.3,0.838525492,7,1,1,0,0,4,1,1,2,1,84,3,0.316227766,0.692879964,0.320156212,3.31662479,0.9,0.3,0.2,1,0,8,3,10,2,4,5,2,4,3,0,0,0,1,0,0
5710,1,0,2,2,0,3,1,0,0,0,0,0,0,0,0,7,1,0,0,0.9,0.5,0.977880361,11,0,1,0,0,11,1,0,2,1,36,3,0.374165739,0.995049731,0.319061123,3.741657387,0.6,0.6,0,3,1,10,3,10,2,8,3,2,2,3,0,0,1,1,0,1
5731,1,1,1,6,1,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0.7,0.9,1.067122299,11,1,1,0,1,14,1,1,2,1,60,1,0.316227766,0.630049847,0.307083051,3.16227766,0,0.3,0.4,2,4,8,1,10,4,7,7,2,2,4,1,1,0,0,1,1
5740,1,1,1,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0.9,1.2,0.990896059,11,0,0,9,1,15,1,1,1,1,58,3,0.547722558,1.376177182,0.435889894,2.645751311,0.2,0.6,0.7,2,3,8,5,9,2,8,2,0,4,6,0,1,1,1,0,0
5898,1,0,1,7,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0.9,0.1,0.523211238,7,1,1,1,0,12,1,0,2,1,104,2,0.387298335,1.025682599,0.372155881,3.605551276,0.1,0.9,0.7,4,5,6,4,11,2,8,5,0,3,9,0,1,0,0,0,0
6045,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.3,0,0.780224327,4,0,0,0,1,11,1,1,2,1,44,3,0.447213595,0.777591641,0.339116499,3,0.5,0.9,0.1,2,0,10,3,12,1,6,2,0,1,7,0,1,1,0,0,0
6095,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.9,0.3,0.606217783,3,0,1,0,0,1,1,0,2,1,70,3,0.424264069,1.013187834,0.345543051,3.605551276,0.7,0.2,0.9,3,1,10,3,10,1,10,7,3,3,10,0,1,0,0,0,0
6240,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0.4,0,0.897217922,11,0,1,1,0,16,1,0,2,1,104,2,0.4,1.224323055,0.388587185,3.741657387,0.2,0.7,0.2,2,3,9,4,8,5,9,7,0,2,8,0,1,1,1,0,0
6677,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0.9,1.8,1.781852968,11,0,1,9,1,17,1,1,0,1,104,3,0.447213595,1.425005437,0.397492138,3.464101615,0.5,0.7,0.1,2,1,7,1,12,5,9,4,2,3,7,0,0,1,0,0,0
7024,1,5,4,11,1,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0.9,0.9,1.065657074,3,0,1,0,1,15,1,1,0,1,5,2,0.424264069,0.643627375,0.325576412,1.414213562,0.8,0.2,0.1,2,1,9,2,9,2,9,7,1,1,9,0,0,1,1,0,0
7361,1,0,4,3,1,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0.9,0.2,0.533853913,7,1,0,2,0,0,0,1,1,1,104,2,0.374165739,0.888621832,0.360138862,3.605551276,0.2,0.2,0.9,2,3,8,6,10,0,12,8,0,3,6,1,0,1,0,0,0
7542,1,5,1,5,1,6,0,1,0,0,0,0,0,0,0,11,1,0,0,0.9,1,1.398883483,11,0,1,0,1,11,1,1,2,1,3,2,0.424264069,1.103244651,0.378945906,3.464101615,0,0.3,0.5,0,0,5,5,8,2,9,4,1,2,9,0,0,1,1,0,0
7954,1,1,1,7,1,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.9,0,1.2,11,1,1,0,0,14,1,1,2,1,60,1,0.316227766,0.619517274,0.307083051,3,0.7,0.2,0.3,2,2,8,4,10,1,5,3,3,4,4,0,0,0,1,0,0
7991,1,1,1,6,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0.8,0.9,1.592168333,9,0,1,1,0,0,1,0,2,1,75,2,0.447213595,1.224517108,0.382361086,3.605551276,0.3,0.6,0.9,3,2,9,3,9,3,8,8,0,3,5,0,1,1,1,1,0
8881,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0.646625858,5,1,0,0,1,11,1,1,2,1,103,1,0.316227766,0.485172714,0.288790582,1,0.9,0.2,0.8,2,1,10,2,10,2,9,4,3,5,8,0,0,1,0,0,0
9155,1,3,3,7,1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0.8,0.2,0.444409721,11,0,1,0,0,10,1,0,1,1,55,2,0.424264069,1.192880395,0.358608422,3.741657387,0.7,0,0.8,2,3,8,4,12,2,8,5,2,2,8,0,1,1,1,0,0
9521,1,4,1,4,1,0,0,0,1,0,0,0,0,0,0,13,0,1,0,0.3,0,0.688748866,9,1,0,0,1,4,1,1,2,1,104,2,0.316069613,0.525644036,0.320156212,1.414213562,0.1,0,0.1,2,2,8,3,7,2,11,3,0,2,10,0,0,1,0,1,0
10005,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.9,0,1.075,10,0,1,0,1,10,1,1,2,1,55,2,0.447213595,1.167845725,0.359722115,3.741657387,0.5,0.4,0.4,3,2,9,3,9,0,9,8,1,3,13,0,1,1,1,1,0
10127,1,0,1,8,1,0,0,0,1,0,0,0,1,0,1,13,0,1,0,0.3,0,0.935080211,11,0,1,0,0,15,1,0,2,1,5,2,0.447213595,1.22811419,0.325576412,3.741657387,0.7,0.5,0.7,2,0,9,3,10,3,6,2,1,1,7,0,1,0,1,0,0
10235,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0.9,0.5,0.852569645,11,1,1,0,0,4,1,0,2,1,84,3,0.316227766,0.867217456,0.320156212,3.741657387,0.1,0.5,0.2,1,1,8,5,9,3,10,5,2,2,4,0,1,1,1,0,0
10909,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.9,1.4,1.528275172,11,1,0,0,0,0,1,1,3,1,95,2,0.4,0.728578374,0.334813381,2.828427125,0.8,0.9,0.9,2,2,8,4,8,3,10,7,3,4,5,0,0,1,0,0,1
11496,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0.6,0.5,1.067122299,7,0,0,0,1,15,0,1,1,1,5,2,0.424264069,1.087162126,0.325576412,3.464101615,0.8,0.7,0.1,4,2,8,3,8,2,13,7,0,5,7,0,1,1,0,0,0
11508,1,2,1,4,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0.9,1.3,1.367707937,11,0,0,9,1,8,1,1,2,1,104,3,0.565685425,1.302413526,0.420713679,3,0.1,0,0.2,3,2,9,3,11,2,5,5,2,3,3,0,0,1,0,1,0
11648,1,7,1,4,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0.7,1.4,1.447411483,11,0,1,8,0,4,1,0,2,1,6,3,0.447213595,1.150862056,0.357211422,3.741657387,0,0.2,0.2,1,0,8,4,7,5,5,6,3,1,4,0,1,0,0,0,0
11914,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0.9,0.1,0.48347699,7,1,1,0,1,0,1,1,0,1,87,3,0.316227766,0.743720266,0.294448637,3.605551276,0.6,0.8,0.8,5,1,6,5,9,2,11,3,0,2,9,1,1,1,1,0,0
12021,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0.4,0,0.55283361,11,0,1,0,1,4,1,0,2,1,50,2,0.4,0.940348977,0.328633535,3.605551276,0.9,0.3,0.9,2,4,10,0,10,4,15,7,1,4,7,0,1,0,0,0,0
12186,1,5,1,10,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0.9,0.7,1.015504801,11,0,1,0,1,10,1,1,2,1,28,3,0.374165739,0.980587929,0.328633535,3.31662479,0,0.9,0.9,2,2,8,2,9,2,4,3,1,4,8,1,0,1,0,1,0
12399,1,2,1,3,1,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0.9,0.5,0.845946216,11,1,1,0,1,0,1,0,2,1,54,3,0.4,1.008763256,0.32,3.605551276,0.2,0.8,0.8,0,1,9,4,8,5,14,7,1,1,4,0,1,1,0,1,1
12680,1,1,1,6,1,4,0,0,1,0,0,0,0,0,0,8,1,0,0,0.7,0.3,0.632455532,9,0,0,0,1,11,1,1,2,1,7,3,0.424264069,0.797218823,0.354259792,3,0.6,0.5,0.1,2,2,7,5,9,2,4,5,1,2,10,0,0,1,1,1,0
12766,1,0,1,9,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0.4,0.5,0.900694177,7,1,0,8,0,11,1,1,2,1,24,2,0.529150262,0.922962353,0.427200187,1.732050808,0.9,0,0.2,4,2,8,1,9,3,7,5,2,3,4,0,1,1,0,0,0
13466,1,2,3,6,1,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0.9,1,1.165654323,11,1,1,0,0,15,1,0,2,1,63,2,0.387298335,0.899988522,0.319374389,3.605551276,0,0,0.2,2,2,9,3,10,3,8,3,1,1,7,0,0,0,1,1,0
13717,1,7,1,6,1,3,0,0,1,0,0,0,0,0,0,11,1,0,0,0.7,1,1.841704374,11,0,1,0,1,15,1,1,2,1,5,2,0.424264069,1.014094882,0.325576412,3.16227766,0.6,0.9,0,0,3,10,5,10,4,11,5,3,3,10,0,1,0,0,0,0
13798,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0.9,0.7,1.08195425,11,0,0,9,0,8,1,1,1,1,104,3,0.565685425,1.289483848,0.420713679,3.16227766,0.4,0,0.7,3,2,9,4,10,1,11,3,2,3,6,0,0,0,0,0,0
13882,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.3,0.596866819,9,1,1,0,0,9,1,0,0,1,21,3,0.316227766,0.845698889,0.313049517,3.605551276,0.6,0.7,0.6,2,2,7,1,10,4,10,5,3,1,9,0,0,0,0,0,0
14410,1,0,1,8,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0.9,0.9,1.01396499,11,0,0,0,1,1,1,1,2,1,104,2,0.435889894,0.883690608,0.362629287,3.16227766,0.7,0.7,0.4,2,2,9,2,9,3,17,6,1,2,8,0,0,0,1,0,0
14565,1,2,1,3,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0.8,0.6,0.874642784,9,1,1,0,0,4,1,0,2,1,9,2,0.316227766,0.84794355,0.320156212,3.605551276,0.5,0.9,0.2,3,2,7,3,10,3,8,6,1,5,7,0,0,0,1,1,0
15166,1,6,1,3,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0.9,0.8,1.29059095,11,1,0,0,1,14,1,1,3,1,29,3,0.4,0.758873132,0.341174442,3,0.5,0.8,0.6,1,2,5,3,10,2,4,5,2,1,4,0,1,1,1,1,0
15488,1,5,1,6,1,3,0,0,1,0,0,0,0,0,0,13,1,0,0,0.7,1.4,1.052081271,11,1,1,0,1,4,1,1,2,1,104,3,0.4,0.894704347,0.357071421,3.464101615,0.7,0.8,0,3,3,8,3,11,1,14,2,2,2,9,1,0,1,0,0,0
15751,1,5,1,10,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.9,1.7,1.607210316,11,0,1,0,0,10,1,1,2,1,83,2,0.424264069,0.880399515,0.342052628,2.645751311,0.3,0.8,0.3,2,3,8,4,9,3,7,5,1,3,13,1,1,1,0,0,0
15920,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0.6,0.4,0.763626218,7,0,0,1,1,9,1,1,2,1,61,3,0.447213595,0.954707778,0.381968585,3.16227766,0.2,0.9,0.2,4,0,9,1,9,1,6,1,1,2,13,0,0,0,0,0,0
15947,1,5,1,5,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0.8,0.6,0.537354632,5,0,0,0,1,15,1,1,3,1,5,2,0.424264069,0.740337203,0.325576412,2,0,0.5,0.7,5,1,7,5,12,2,6,7,2,4,10,0,1,0,1,1,0
16822,1,2,1,3,1,3,0,0,1,0,0,0,0,0,0,12,1,0,0,0.7,1.1,1.57817141,11,0,1,8,1,13,1,0,2,1,20,3,0.447213595,1.308682465,0.371483512,3.741657387,0.8,0.3,0,4,3,8,3,10,5,10,1,2,5,5,0,1,0,0,0,0
16923,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0.9,1.1,1.272792206,11,0,0,8,1,13,1,1,2,1,104,3,0.565685425,1.497201246,0.45880279,3.31662479,0.9,0,0.2,5,3,8,1,9,3,10,7,0,4,12,0,1,0,1,1,0
16970,1,1,1,4,0,4,0,1,0,0,0,0,0,0,0,7,1,0,0,0.4,0,1.274264494,11,1,0,0,0,1,1,1,2,1,51,2,0.374165739,0.836165985,0.330756708,3.605551276,0,0.3,0.8,4,3,8,4,10,2,7,13,1,3,5,0,0,1,1,1,1
17473,1,3,1,7,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.9,0.2,0.612372436,11,0,1,0,1,10,1,1,2,1,55,2,0.447213595,1.167438745,0.359722115,3.741657387,0.4,0.9,0.7,3,1,9,3,10,2,11,4,0,4,4,0,1,1,0,1,0
17574,1,2,1,11,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0.9,1.2,1.850337807,11,1,1,0,1,14,1,1,2,1,42,2,0.4,0.753586466,0.33763886,3.31662479,0.5,0.8,0.7,1,3,6,4,9,2,2,6,1,1,4,0,1,0,1,0,0
17596,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.8,1.704956011,6,1,1,0,0,14,1,0,2,1,72,3,0.4,1.162561649,0.350428309,3.605551276,0.2,0.6,0.6,3,2,9,2,8,2,5,2,1,3,7,0,1,0,0,0,0
18512,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0.9,0.6,0.86890736,11,1,1,0,1,7,1,1,1,1,92,3,0.374165739,0.71656896,0.327871926,3.16227766,0,0.6,0.6,2,2,9,5,8,1,10,1,1,3,14,0,0,1,1,0,1
18537,1,5,1,8,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0.9,1.5,1.723006094,11,0,1,9,1,10,1,1,2,1,81,3,0.447213595,1.039945962,0.390896406,2.828427125,0.7,0.8,0.9,2,2,6,3,10,1,6,3,0,5,13,0,1,0,0,0,0
18853,1,3,1,7,1,4,0,1,0,0,0,0,0,0,0,8,1,0,0,0.9,0.2,0.582022336,11,1,1,1,1,12,1,1,1,1,104,2,0.374165739,0.724811175,0.331662479,3.31662479,0.8,0.2,0.7,2,2,9,1,11,3,8,3,0,5,5,1,1,1,1,0,0
18884,1,5,1,3,0,0,0,0,1,0,0,0,0,0,0,11,0,1,0,0.3,0,1.031079531,9,0,1,1,1,0,1,0,2,1,75,2,0.447213595,1.370837049,0.382361086,3.605551276,0.9,0.9,0.1,4,3,9,0,8,3,7,5,3,5,5,0,1,0,1,0,0
19549,1,0,3,6,1,6,0,1,0,0,0,0,0,0,0,7,0,1,0,0.9,0.4,0.79960928,11,1,1,0,0,11,1,1,2,1,36,3,0.374165739,0.890329125,0.326649659,3.605551276,0,0.2,0.9,2,1,7,1,11,5,8,4,0,6,3,0,1,1,1,1,0
19580,1,5,1,9,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0.7,0.7,0.533853913,11,0,0,0,1,15,1,1,2,1,5,2,0.424264069,0.858020016,0.325576412,2.828427125,0.7,0.3,0.3,3,1,9,4,10,3,9,3,0,8,10,0,1,1,0,0,1
19717,1,5,1,5,1,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0.8,0.8,0.896521054,11,1,1,0,1,4,1,1,2,1,12,3,0.4,0.787820511,0.324807635,3.464101615,0.2,0.1,0.1,1,2,4,4,11,3,7,5,0,4,8,0,1,0,0,1,0
19718,1,5,1,7,0,3,1,0,0,0,0,0,0,0,0,4,0,1,0,0.9,0.9,1.105384549,11,1,1,0,1,1,1,1,2,1,10,2,0.316227766,0.578327597,0.319374389,2.449489743,0.6,0.6,0.4,2,1,8,6,9,1,5,5,0,5,8,0,1,0,0,0,0
20155,1,5,2,3,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0.9,1.4,1.966596044,11,0,0,8,1,9,1,1,2,1,13,3,0.447213595,0.959327847,0.399124041,3.16227766,0,0.1,0.1,3,2,9,4,10,3,15,4,2,2,11,0,1,0,1,1,0
20221,1,6,1,5,1,2,0,1,0,0,0,0,0,0,0,6,0,1,0,0.8,0.8,0.734846923,11,1,1,0,0,10,1,0,2,1,28,3,0.374165739,0.978065218,0.328633535,3.741657387,0.1,0.8,0.1,4,2,9,2,9,4,6,8,4,3,11,1,1,0,1,1,0
20473,1,2,1,6,1,5,0,1,0,0,0,0,0,0,0,11,0,1,0,0,0.6,0.937749967,7,0,1,0,1,10,1,1,0,1,83,2,0.424264069,0.879730425,0.342052628,2.645751311,0.6,0.1,0.1,1,4,9,5,9,1,15,5,0,5,7,0,0,1,0,1,0
20561,1,5,1,4,1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0.7,0.7,1.119430659,11,0,0,9,0,9,1,1,2,1,104,3,0.447213595,1.261468055,0.396988665,3.31662479,0.2,0.3,0.5,3,1,8,3,11,3,7,5,2,1,12,1,1,0,1,0,0
20879,1,3,1,9,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0.9,1.6,1.058005198,7,0,0,1,1,0,1,1,2,1,104,2,0.447213595,0.909761117,0.376563408,2.449489743,0.1,0.1,0.8,3,3,8,3,8,3,14,11,3,2,9,0,1,1,0,0,0
21000,1,6,1,7,1,0,0,1,0,0,0,0,0,0,0,11,0,1,0,0.9,1.8,1.545153714,11,0,1,0,1,10,1,1,3,1,28,3,0.374165739,0.774036324,0.328633535,2.828427125,0.4,0.8,0.6,2,1,7,1,12,3,7,5,2,0,9,0,0,1,1,0,0
21361,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.4,0,0.848896342,9,1,1,2,1,11,1,1,2,1,94,0,0.374165739,0.787335185,0.330454233,3.605551276,0.2,0.8,0.6,3,0,5,2,10,1,8,5,1,4,2,0,0,1,0,0,0
21511,1,7,2,1,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0.9,1.5,1.527866159,11,1,1,0,1,10,1,1,2,1,28,3,0.374165739,0.90665583,0.328633535,3.464101615,0,0.2,0,1,1,9,1,10,4,10,6,2,4,7,0,1,0,0,0,0
21835,1,0,1,5,0,6,0,0,1,0,0,0,1,0,1,0,0,1,0,0.9,1.2,2.077709075,11,0,1,0,1,11,1,0,2,1,104,2,0.4,1.047359924,0.342198773,3.605551276,0.8,0.4,0.7,2,2,9,4,9,4,8,6,2,3,6,0,0,1,0,0,0
22231,1,4,1,10,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0.9,0.8,1.054751156,7,1,0,1,1,4,1,1,2,1,104,2,0.465295605,0.340363199,0.342052628,0,0.4,0.5,0,1,1,7,3,11,3,6,4,0,2,16,0,0,0,0,1,1
22405,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.3,0,0.629980158,7,1,1,0,0,11,1,0,2,1,76,3,0.316227766,0.849477233,0.318119474,3.741657387,0.4,0.1,0.7,3,2,10,1,8,0,11,4,0,2,6,0,0,0,0,0,0
22443,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.9,0.6,0.790964601,7,0,1,0,0,11,1,1,1,1,3,2,0.424264069,1.103244651,0.378945906,3.464101615,0.2,0.8,0.8,2,2,9,4,9,1,12,3,2,3,7,0,1,1,0,0,0
